"Frage";"Antwort A";"Antwort B";"Antwort C";"Antwort D";"Richtige Antwort"
"Wer kann die Einstellung des Betriebes einer Schiffsfunkstelle anordnen?";"WSA";"GDWS";"BSH";"BNetzA";"BNetzA"
"Welche Teile des Handbuchs Binnenschifffahrtsfunk müssen mitgeführt werden?";"Regionale Teile für alle europäischen Wasserstraßen";"Allgemeiner Teil sowie Regionale Teile für die Strecken, in denen teilgenommen wird";"Regionale Teile nur für die aktuelle Strecke";"Allgemeiner Teil sowie Regionale Teile des Anmeldelandes";"Allgemeiner Teil sowie Regionale Teile für die Strecken, in denen teilgenommen wird"
"Woraus besteht das Rufzeichen für eine deutsche Schiffsfunkstelle?";"Vier Buchstaben, gefolgt von zwei Ziffern";"Zwei Buchstaben, gefolgt von zwei Ziffern";"Zwei Buchstaben der Rufzeichenreihe für Deutschland, gefolgt von vier Ziffern";"Vier Buchstaben, gefolgt von vier Ziffern";"Zwei Buchstaben der Rufzeichenreihe für Deutschland, gefolgt von vier Ziffern"
"Welches Rufzeichen kennzeichnet eine Schiffsfunkstelle?";"DA5 0BC";"DABC 55";"DA 505B";"DA 5005";"DA 5005"
"Was bedeutet ATIS?";"Automatisches Schiffsidentifizierungssystem";"Automatisches Senderidentifizierungssystem";"Automatisches Transponderabfragesystem";"Automatisches Verkehrsinformationssystem";"Automatisches Senderidentifizierungssystem"
"Welchem Zweck dient die Aussendung eines ATIS-Codes?";"Identifizierung einer Seefunkstelle";"Identifizierung des Bedieners";"Identifizierung einer Schiffsfunkstelle";"Identifizierung des Verkehrskreises";"Identifizierung einer Schiffsfunkstelle"
"Wie setzt sich der ATIS-Code zusammen?";"10 Ziffern: 9, MID und 6 Ziffern";"10 Ziffern: MID und 6 Ziffern";"10 Ziffern: zwei Nullen, MID und 5 Ziffern";"10 Ziffern: 9, zwei Nullen, MID und 4 Ziffern";"10 Ziffern: 9, MID und 6 Ziffern"
"Wann wird das ATIS-Signal ausgesendet?";"Automatisch alle 10 Minuten";"Automatisch nach dem Loslassen der Sprechtaste";"Automatisch beim Kanalwechsel";"Automatisch beim Drücken der Sprechtaste";"Automatisch nach dem Loslassen der Sprechtaste"
"Welchen ATIS-Code sendet eine tragbare Funkanlage aus?";"ATIS-Code der ortsfesten Funkstelle";"ATIS-Code der Schiffsfunkstelle, zu der sie gehört";"ATIS-Code der Schiffsfunkstelle und die Gerätenummer";"ATIS-Code, der ihr gesondert zugewiesen wurde";"ATIS-Code der Schiffsfunkstelle, zu der sie gehört"
"Was ist ein ATIS-Killer?";"Zusatzeinrichtung zur optischen Unterdrückung empfangener ATIS-Signale";"Zusatzeinrichtung zur Unterdrückung der Aussendung des ATIS-Signals";"Zusatzeinrichtung zur Unterdrückung versehentlicher Aussendung des ATIS-Signals";"Zusatzeinrichtung zur akustischen Unterdrückung empfangener ATIS-Signale";"Zusatzeinrichtung zur akustischen Unterdrückung empfangener ATIS-Signale"
"Was versteht man unter AIS?";"Allgemeines Informationssystem für die Binnenschifffahrt";"Identifizierung per Radarpeilungen";"Automatisches Schiffsidentifizierungs- und Überwachungssystem, das Informationen auf UKW überträgt";"Automatische Aussendung der Kennung beim Loslassen der Sprechtaste";"Automatisches Schiffsidentifizierungs- und Überwachungssystem, das Informationen auf UKW überträgt"
"Welche Informationen werden bei AIS automatisch ausgetauscht?";"Statische, dynamische und reisebezogene Informationen";"Statische, notfallbezogene und reisebezogene Informationen";"Statische, reisebezogene und dringende Informationen";"Statische, dynamische und notfallbezogene Informationen";"Statische, dynamische und reisebezogene Informationen"
"Was ist beim Betrieb einer Amateurfunkstelle an Bord zu beachten?";"Nur mit Zustimmung der Revierzentrale und ohne Störungen";"Nur nach Eintragung in die Ship Station Licence";"Nur mit Zustimmung des Schiffsführers und ohne schädliche Störungen";"Nur mit Zustimmung des Schiffsführers, max. 5 Watt";"Nur mit Zustimmung des Schiffsführers und ohne schädliche Störungen"
"Was bedeutet Betriebsspannung 10,8–14,6 V= ?";"Wechselspannung zwischen 10,8 und 14,6 Volt erforderlich";"Gleichspannung von 12,7 Volt erforderlich";"Gleichspannung zwischen 10,8 und 14,6 Volt erforderlich";"Wechselspannung von 12,7 Volt erforderlich";"Gleichspannung zwischen 10,8 und 14,6 Volt erforderlich"
"Was ist beim Kauf eines UKW-Sprechfunkgerätes für den Binnenschifffahrtsfunk zu beachten?";"TÜV-Prüfung erforderlich";"Zulassung gemäß BinSchSprFunkV zwingend";"ATIS-Schnittstelle und Wetterempfang erforderlich";"Zugelassen oder für Teilnahme am Binnenschifffahrtsfunk in Verkehr gebracht";"Zugelassen oder für Teilnahme am Binnenschifffahrtsfunk in Verkehr gebracht"
"Je höher die Antenne angebracht ist, desto…";"wetterunabhängiger ist der Funkverkehr";"größer ist die erforderliche Sendeleistung";"größer ist die Reichweite";"größer wird die Gefährdung in elektromagnetischen Feldern";"größer ist die Reichweite"
"Bei beschädigter Mantel-Isolierung des Antennenkabels sollte das Antennenkabel…";"bei Gelegenheit gegen Feuchtigkeit gesichert werden";"bei Gelegenheit erneuert werden";"umgehend erneuert werden";"umgehend durch ein Stromkabel ersetzt werden";"umgehend erneuert werden"
"Starkes Rauschen auf allen Kanälen, mögliche Ursache?";"Atmosphärische Störungen";"Andere Schiffsfunkstelle blockiert unbeabsichtigt";"Antenne oder Antennenkabel möglicherweise beschädigt";"Antenne zu nah an Radarantenne";"Antenne oder Antennenkabel möglicherweise beschädigt"
"Worauf ist beim Austausch einer defekten UKW-Antenne zu achten?";"Ersatzantenne wettergeschützt anbringen";"Ersatzantenne am höchsten Punkt anbringen";"Ersatzantenne außerhalb Radar-Abdeckung";"Ersatzantenne muss für den Frequenzbereich des Binnenschifffahrtsfunks ausgelegt sein";"Ersatzantenne muss für den Frequenzbereich des Binnenschifffahrtsfunks ausgelegt sein"
"Wozu dient am UKW-Gerät die Rauschsperre (Squelch)?";"Rauschen stufenlos einstellen";"Wiedergabe nur bei brauchbarem Empfangssignal aktivieren";"Wiedergabe nur bei Notsignalen";"Verbesserung schwacher Empfangssignale";"Wiedergabe nur bei brauchbarem Empfangssignal aktivieren"
