Frage;Antwort A;Antwort B;Antwort C;Antwort D;Richtige Antwort
Wer darf pyrotechnische Notsignale der Klasse T verwenden?;;;;;Jeder, der damit anzeigen will, dass ein Seenotfall vorliegt, d. h. unter anderem, dass Gefahr für Leib oder Leben der Besatzung und daher die Notwendigkeit zur Hilfe besteht.
Wie lang ist die Brenndauer einer Seenot-Handfackel?;;;;;Ihre Brenndauer beträgt 30 bis 60 Sekunden.
Beschreiben Sie den allgemeinen Aufbau eines Seenot-Rauchsignals!;;;;;In einem Behälter befindet sich ein Anzünder (meist Reißzünder) mit Verzögerung, der einen pyrotechnischen Satz anzündet, der dann bis zu 4 Minuten lang orangefarbenen Rauch abgibt.
Was wissen Sie über Steighöhe und Brenndauer von Signalraketen?;;;;;Steighöhe bis 300 m, Brenndauer bis zu 30 Sekunden.
Fallschirmsignalraketen und Handfackeln sind bei klarem Wetter unterschiedlich weit zu sehen. Welche Signale verwenden Sie den Umständen entsprechend?;;;;;Fallschirmsignalraketen, um weit entfernte Helfer auf eine Notlage aufmerksam zu machen und grob in die Richtung einzuweisen. Handfackeln, um die genaue Position bei Annäherung kenntlich zu machen.
Wie hoch steigen Seenotsignalraketen bei senkrechtem Abschusswinkel?;Bis zu 50 Metern.;Bis zu 300 Metern.;Bis zu 200 Metern.;;Bis zu 300 Metern.
Brennen pyrotechnische Geschosse weiter, wenn sie ins Wasser fallen?;Nein.;Nur, wenn es sich um militärische Munition handelt.;Ja.;;Ja.
Dürfen Sie pyrotechnische Gegenstände selbst herstellen und bearbeiten?;;;;;Nein, nur als Inhaber einer entsprechenden Erlaubnis nach dem Sprengstoffgesetz.
Wer darf pyrotechnische Gegenstände herstellen und bearbeiten?;;;;;Nur Inhaber einer speziellen Erlaubnis nach dem Sprengstoffgesetz.
Welche pyrotechnischen Notsignale unterliegen dem Waffengesetz?;;;;;Die Signalpistole und die hierfür bestimmte Munition (nur mit WBK).\nAbschussgeräte und Munition (ab 18 Jahre).
Welche pyrotechnischen Seenotsignale unterliegen dem Sprengstoffgesetz?;;;;;Alle pyrotechnischen Seenotsignale, die nicht aus einer Signalpistole abgefeuert werden, wie Signalraketen, Handsignalraketen mit Fallschirm, Handfackeln und Rauchsignale.
Was regelt das Sprengstoffgesetz?;;;;;Den Umgang mit explosionsgefährlichen Stoffen.
Welche Bestimmung regelt den Einsatz von Notsignalen auf See?;;;;;"Kollisionsverhütungsregeln (KVR; Regel 37)."
Welche Vorschrift regelt die Pflicht zur Hilfeleistung in Seenotfällen?;;;;;Verordnung über die Sicherung der Seefahrt.
Welche nautische Veröffentlichung (Broschüre) beschreibt die seemännische Sorgfaltspflicht für Wassersportler, auch für den Seenotfall? Wer gibt sie heraus?;;;;;Die Broschüre „Sicherheit im See- und Küstenbereich“, herausgegeben vom Bundesamt für Seeschifffahrt und Hydrographie (BSH).
Welche nautische Veröffentlichung (Handbuch) für die Sport- und Kleinschifffahrt enthält Anleitungen zur Bewältigung von Notlagen auf See? Wer gibt sie heraus?;;;;;Das Handbuch „Suche und Rettung“, herausgegeben vom Bundesamt für Seeschifffahrt und Hydrographie (BSH).
Welche pyrotechnischen Signalmittel unterliegen dem Waffengesetz?;Alle Leuchtraketen, die einen eigenen Treibsatz beinhalten.;Alle Signalpistolen und Abschussvorrichtungen, sowie die für diese bestimmte Munition.;Alle steigenden Signale, die einen Durchmesser von mehr als 12 mm aufweisen.;;Alle Signalpistolen und Abschussvorrichtungen, sowie die für diese bestimmte Munition.
Welche pyrotechnischen Signalmittel unterliegen dem Sprengstoffgesetz?;Handfackeln und Rauchkörper.;Handsignalraketen mit Fallschirm.;Blitz-Knall-Patronen im Kaliber 4.;;Handfackeln und Rauchkörper. | Handsignalraketen mit Fallschirm.
Dürfen Sie Seenotsignalmittel in öffentlichen Verkehrsmitteln befördern?;;;;;Nein.
Wem dürfen Seenotsignale dauerhaft überlassen werden?;;;;;Nur berechtigten Personen im Sinne des Waffen- oder Sprengstoffrechts.
Wem dürfen Sie ohne Erlaubnis die Signalpistole im Kaliber 4 (26,5 mm) nebst Munition vorübergehend überlassen?;Volljährigen Personen meines Vertrauens zur sicheren Aufbewahrung.;Dem Hafenmeister.;Charterern von seegehenden Wasserfahrzeugen, sofern der Besitz über die Waffe nach meinen Weisungen erfolgt.;;Charterern von seegehenden Wasserfahrzeugen, sofern der Besitz über die Waffe nach meinen Weisungen erfolgt.
Was müssen Sie tun, wenn Ihnen Signalmittel oder Waffen abhanden kommen?;;;;;Den Verlust der zuständigen Behörde unverzüglich anzeigen.
Wer darf in Seenotfällen mit einer Signalwaffe schießen?;Jeder.;Nur Inhaber einer Waffensachkundeprüfung.;Nur der verantwortliche Führer des betroffenen Wasserfahrzeuges.;;Jeder.
Welche Ausnahme von den waffenrechtlichen Erlaubnispflichten für Waffen und Munition betrifft den Charterer einer seegehenden Yacht?;;;;;Der Charterer darf ohne waffenrechtliche Erlaubnis die tatsächliche Gewalt über eine an Bord befindliche Signalpistole im Kaliber 4 (26,5 mm) und die dazugehörige Munition ausüben.
Welche Behörde prüft pyrotechnische Seenotsignale und lässt sie zu?;;;;;Die Bundesanstalt für Materialforschung und -prüfung (BAM).
