"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Was versteht man unter pyrotechnischen Seenotsignalen?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Notsignale, die mit Hilfe explosionsgefährlicher Stoffe ausgelöst werden.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Darf mit einem Bootsführerschein mit eingetragenem Befreiungsvermerk nach dem Waffen- und Sprengstoffgesetz Seenotsignalmunition im Kaliber 4 erworben werden?</div><div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>A.</span><span>Nein, hierfür ist eine Waffenbesitzkarte mit einer eingetragenen Signalwaffe im Kaliber 4 erforderlich.</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>B.</span><span>Nein, hierfür ist eine Waffenbesitzkarte mit eingetragener Munitionserwerbsberechtigung für das Kaliber 4 erforderlich.</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>C.</span><span>Ja, die Waffenbesitzkarte wird nur für den Waffenerwerb benötigt und dient als Legitimation für den Waffenbesitz.</span></div></div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Richtige Antwort:</b> B</div><div style='margin-top:4px;'>Nein, hierfür ist eine Waffenbesitzkarte mit eingetragener Munitionserwerbsberechtigung für das Kaliber 4 erforderlich.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Nennen Sie sechs pyrotechnische Notsignale!</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>1. Signalraketen, rot.\n2. Fallschirmsignalraketen, rot.\n3. Handfackeln, rot.\n4. Rauchsignale, orange.\n5. Lichtrauchsignale.\n6. Blitz-Knall-Patronen.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Welche Farben haben pyrotechnische Notsignale?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Leuchtsignale rot; Rauchsignale orange.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Was ist bei allen steigenden Seenotsignalen unbedingt zu beachten?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>1. Auf freies Schussfeld achten (z.B. Mast und Segel),\n2. Signalgerät senkrecht (ggf. in den Wind geneigt) nach oben halten,\n3. beim Handhaben und Abfeuern nicht auf Personen richten und selbst nicht mit Körperteilen oder Kleidung vor die Mündung kommen,\n4. nicht an Versagern hantieren, sondern diese über Bord werfen.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Was ist bei steigenden Notsignalen zu beachten?</div><div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>A.</span><span>Freies Schussfeld.</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>B.</span><span>Keine entflammbaren Gegenstände im Gefahrenbereich.</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>C.</span><span>Windrichtung und Abschusswinkel.</span></div></div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Richtige Antwort:</b> A, B, C</div><div style='margin-top:4px;'>Freies Schussfeld.</div><div style='margin-top:4px;'>Keine entflammbaren Gegenstände im Gefahrenbereich.</div><div style='margin-top:4px;'>Windrichtung und Abschusswinkel.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Worin liegt die besondere Gefährlichkeit pyrotechnischer Signalsätze?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Es besteht Explosions-, Feuer- und Verletzungsgefahr. Sie brennen auch im Wasser weiter.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Welche Vorteile haben Signalraketen bzw. Signalpatronen, die mit Fallschirmen ausgerüstet sind, gegenüber Signalsternen?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Auf Grund geringerer Sinkgeschwindigkeit (5 m/s) ist eine längere Brenndauer möglich; dadurch haben sie einen höheren Aufmerksamkeitswert.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Woraufhin sind pyrotechnische Seenotsignale ständig zu überwachen, damit die Funktionsfähigkeit gewährleistet ist?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>1. Verbrauchsdauer/Verfallsdatum beachten,\n2. auf Korrosion oder Beschädigung achten.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Woran erkennen Sie an einem pyrotechnischen Notsignal, um welche Unterklasse es sich handelt?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Am Zulassungszeichen: BAM-PT1 oder BAM-PT2.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Wer darf pyrotechnische Notsignale der Klasse T verwenden?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Jeder, der damit anzeigen will, dass ein Seenotfall vorliegt, d. h. unter anderem, dass Gefahr für Leib oder Leben der Besatzung und daher die Notwendigkeit zur Hilfe besteht.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Wie lang ist die Brenndauer einer Seenot-Handfackel?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Ihre Brenndauer beträgt 30 bis 60 Sekunden.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Beschreiben Sie den allgemeinen Aufbau eines Seenot-Rauchsignals!</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>In einem Behälter befindet sich ein Anzünder (meist Reißzünder) mit Verzögerung, der einen pyrotechnischen Satz anzündet, der dann bis zu 4 Minuten lang orangefarbenen Rauch abgibt.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Was wissen Sie über Steighöhe und Brenndauer von Signalraketen?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Steighöhe bis 300 m, Brenndauer bis zu 30 Sekunden.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Fallschirmsignalraketen und Handfackeln sind bei klarem Wetter unterschiedlich weit zu sehen. Welche Signale verwenden Sie den Umständen entsprechend?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Fallschirmsignalraketen, um weit entfernte Helfer auf eine Notlage aufmerksam zu machen und grob in die Richtung einzuweisen. Handfackeln, um die genaue Position bei Annäherung kenntlich zu machen.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Wie hoch steigen Seenotsignalraketen bei senkrechtem Abschusswinkel?</div><div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>A.</span><span>Bis zu 200 Metern.</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>B.</span><span>Bis zu 50 Metern.</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>C.</span><span>Bis zu 300 Metern.</span></div></div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Richtige Antwort:</b> C</div><div style='margin-top:4px;'>Bis zu 300 Metern.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Brennen pyrotechnische Geschosse weiter, wenn sie ins Wasser fallen?</div><div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>A.</span><span>Nein.</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>B.</span><span>Nur, wenn es sich um militärische Munition handelt.</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>C.</span><span>Ja.</span></div></div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Richtige Antwort:</b> C</div><div style='margin-top:4px;'>Ja.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Dürfen Sie pyrotechnische Gegenstände selbst herstellen und bearbeiten?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Nein, nur als Inhaber einer entsprechenden Erlaubnis nach dem Sprengstoffgesetz.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Wer darf pyrotechnische Gegenstände herstellen und bearbeiten?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Nur Inhaber einer speziellen Erlaubnis nach dem Sprengstoffgesetz.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Welche pyrotechnischen Notsignale unterliegen dem Waffengesetz?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Die Signalpistole und die hierfür bestimmte Munition (nur mit WBK).\nAbschussgeräte und Munition (ab 18 Jahre).</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Welche pyrotechnischen Seenotsignale unterliegen dem Sprengstoffgesetz?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Alle pyrotechnischen Seenotsignale, die nicht aus einer Signalpistole abgefeuert werden, wie Signalraketen, Handsignalraketen mit Fallschirm, Handfackeln und Rauchsignale.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Was regelt das Sprengstoffgesetz?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Den Umgang mit explosionsgefährlichen Stoffen.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Welche Bestimmung regelt den Einsatz von Notsignalen auf See?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Kollisionsverhütungsregeln (KVR; Regel 37).</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Welche Vorschrift regelt die Pflicht zur Hilfeleistung in Seenotfällen?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Verordnung über die Sicherung der Seefahrt.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Welche nautische Veröffentlichung (Broschüre) beschreibt die seemännische Sorgfaltspflicht für Wassersportler, auch für den Seenotfall? Wer gibt sie heraus?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Die Broschüre „Sicherheit im See- und Küstenbereich“, herausgegeben vom Bundesamt für Seeschifffahrt und Hydrographie (BSH).</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Welche nautische Veröffentlichung (Handbuch) für die Sport- und Kleinschifffahrt enthält Anleitungen zur Bewältigung von Notlagen auf See? Wer gibt sie heraus?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Das Handbuch „Suche und Rettung“, herausgegeben vom Bundesamt für Seeschifffahrt und Hydrographie (BSH).</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Welche pyrotechnischen Signalmittel unterliegen dem Waffengesetz?</div><div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>A.</span><span>Alle Signalpistolen und Abschussvorrichtungen, sowie die für diese bestimmte Munition.</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>B.</span><span>Alle Leuchtraketen, die einen eigenen Treibsatz beinhalten.</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>C.</span><span>Alle steigenden Signale, die einen Durchmesser von mehr als 12 mm aufweisen.</span></div></div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Richtige Antwort:</b> A</div><div style='margin-top:4px;'>Alle Signalpistolen und Abschussvorrichtungen, sowie die für diese bestimmte Munition.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Welche pyrotechnischen Signalmittel unterliegen dem Sprengstoffgesetz?</div><div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>A.</span><span>Handsignalraketen mit Fallschirm.</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>B.</span><span>Handfackeln und Rauchkörper.</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>C.</span><span>Blitz-Knall-Patronen im Kaliber 4.</span></div></div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Richtige Antwort:</b> A, B</div><div style='margin-top:4px;'>Handsignalraketen mit Fallschirm.</div><div style='margin-top:4px;'>Handfackeln und Rauchkörper.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Dürfen Sie Seenotsignalmittel in öffentlichen Verkehrsmitteln befördern?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Nein.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Wem dürfen Seenotsignale dauerhaft überlassen werden?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Nur berechtigten Personen im Sinne des Waffen- oder Sprengstoffrechts.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Wem dürfen Sie ohne Erlaubnis die Signalpistole im Kaliber 4 (26,5 mm) nebst Munition vorübergehend überlassen?</div><div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>A.</span><span>Charterern von seegehenden Wasserfahrzeugen, sofern der Besitz über die Waffe nach meinen Weisungen erfolgt.</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>B.</span><span>Dem Hafenmeister.</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>C.</span><span>Volljährigen Personen meines Vertrauens zur sicheren Aufbewahrung.</span></div></div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Richtige Antwort:</b> A</div><div style='margin-top:4px;'>Charterern von seegehenden Wasserfahrzeugen, sofern der Besitz über die Waffe nach meinen Weisungen erfolgt.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Was müssen Sie tun, wenn Ihnen Signalmittel oder Waffen abhanden kommen?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Den Verlust der zuständigen Behörde unverzüglich anzeigen.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Wer darf in Seenotfällen mit einer Signalwaffe schießen?</div><div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>A.</span><span>Nur Inhaber einer Waffensachkundeprüfung.</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>B.</span><span>Nur der verantwortliche Führer des betroffenen Wasserfahrzeuges.</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>C.</span><span>Jeder.</span></div></div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Richtige Antwort:</b> C</div><div style='margin-top:4px;'>Jeder.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Welche Ausnahme von den waffenrechtlichen Erlaubnispflichten für Waffen und Munition betrifft den Charterer einer seegehenden Yacht?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Der Charterer darf ohne waffenrechtliche Erlaubnis die tatsächliche Gewalt über eine an Bord befindliche Signalpistole im Kaliber 4 (26,5 mm) und die dazugehörige Munition ausüben.</div></div>"
