Frage;Antwort A;Antwort B;Antwort C;Antwort D;Richtige Antwort
"Was ist beim Kauf eines UKW-Seefunkgerätes zu beachten?";"NAVTEX-Schnittstelle erforderlich";"TÜV-Prüfung erforderlich";"Zulassung durch BG Verkehr";"Zulassung oder ordnungsgemäßes Inverkehrbringen für den Seefunkdienst";"Zulassung oder ordnungsgemäßes Inverkehrbringen für den Seefunkdienst"
"Wer stellt Funksicherheitszeugnisse für gewerblich genutzte Sportboote aus?";"BSH";"WSV";"Bundesnetzagentur";"BG Verkehr, Dienststelle Schiffssicherheit";"BG Verkehr, Dienststelle Schiffssicherheit"
"Ein Sportboot ab 12 m Länge benötigt ein Funksicherheitszeugnis...";"in jedem Fall";"bei Regattateilnahme";"bei Auslandsfahrten";"bei gewerbsmäßiger Nutzung";"bei gewerbsmäßiger Nutzung"
"Welche Sendeleistungen sind bei fest installierten UKW-Seefunkanlagen schaltbar?";"1 W oder 12 W";"0,1 W oder 2,5 W";"25 W oder 50 W";"1 W oder 25 W";"1 W oder 25 W"
"Welche Behörde erteilt sechsstellige Rufzeichen für Seefunkstellen?";"BSH Hamburg";"WSA Hamburg";"Bundesnetzagentur Außenstelle Hamburg";"Bundesnetzagentur Außenstelle Mülheim an der Ruhr";"Bundesnetzagentur Außenstelle Hamburg"
"Welche Behörden dürfen die Funktionsfähigkeit von Seefunkstellen überprüfen?";"Wasserschutzpolizei";"Hafenbehörden";"Bundesnetzagentur und Bundesamt für Seeschifffahrt und Hydrographie";"Wasser- und Schifffahrtsdirektionen";"Bundesnetzagentur und Bundesamt für Seeschifffahrt und Hydrographie"
"Welche Behörde vergibt das Unterscheidungssignal für eingetragene Yachten?";"Bundesnetzagentur";"BSH";"Wasser- und Schifffahrtsverwaltung";"Seeschiffsregister des zuständigen Amtsgerichts";"Seeschiffsregister des zuständigen Amtsgerichts"
"Welche Art von Funkstelle hat das Rufzeichen DDTW?";"Küstenfunkstelle";"SAR-Hubschrauber";"Nichtöffentlicher Funkdienst";"Seefunkstelle an Bord eines deutschen Schiffes";"Seefunkstelle an Bord eines deutschen Schiffes"
"Wo sind Abhörverbot und Fernmeldegeheimnis geregelt?";"VO Funk / Radio Regulations";"Schiffssicherheitsverordnung";"Telekommunikationsgesetz";"FTEG";"Telekommunikationsgesetz"
"Wer ist zur Wahrung des Fernmeldegeheimnisses verpflichtet?";"Alle ständig an Bord befindlichen Personen";"Alle funkberechtigten Personen";"Alle vom Schiffsführer bestimmten Personen";"Alle Personen mit Kenntnis über öffentlichen Nachrichtenaustausch";"Alle Personen mit Kenntnis über öffentlichen Nachrichtenaustausch"
"Welche Nachrichten dürfen uneingeschränkt aufgenommen und verbreitet werden?";"Nachrichten von allgemeinem Interesse";"Aussendungen im öffentlichen Seefunkdienst";"Alle Seefunkaussendungen";"Aussendungen an alle Funkstellen";"Aussendungen an alle Funkstellen"
"Welches Kennzeichen trägt ein ordnungsgemäß in Verkehr gebrachtes Funkgerät?";"GS-Zeichen";"VDE-Zeichen";"Seriennummer";"CE-Zeichen";"CE-Zeichen"
"Zur Teilnahme am Binnenschifffahrtsfunk muss eine Seefunkstelle...";"zusätzlich eine weitere Seefunkanlage haben";"nicht geändert werden";"ATIS-Kennung zusätzlich zur MMSI aussenden";"als Kombi-Anlage oder mit zusätzlicher Binnenschifffahrtsfunkanlage ausgerüstet sein";"als Kombi-Anlage oder mit zusätzlicher Binnenschifffahrtsfunkanlage ausgerüstet sein"
"Wie lange kann ein Funkgerät mit 0,5 A Stromaufnahme an einer 60 Ah Batterie betrieben werden?";"30 Stunden";"90 Stunden";"60 Stunden";"120 Stunden";"120 Stunden"
"Welche Auswirkung hat Sendebetrieb auf die Batteriebetriebsdauer?";"bleibt gleich";"wird halbiert";"wird verlängert";"wird verkürzt";"wird verkürzt"
"Wie hoch ist die mittlere Stromaufnahme einer UKW-Seefunkanlage im Empfangsbetrieb?";"1–2 A";"2–3 A";"0,1–0,2 A";"0,3–1 A";"0,3–1 A"
"Wie hoch ist die mittlere Stromaufnahme im Sendebetrieb bei 25 W?";"1–2 A";"2–3 A";"10–12 A";"4–8 A";"4–8 A"
"Wozu dient die Rauschsperre (Squelch)?";"Verbesserung schwacher Signale";"Einstellung des Rauschpegels";"Aktivierung nur bei Notsignalen";"Aktivierung des Lautsprechers ab Mindest-Signalpegel";"Aktivierung des Lautsprechers ab Mindest-Signalpegel"
"Welche GPS-Eigenschaften sind für GMDSS besonders wichtig?";"Satellitenkommunikation";"Funkverkehr über Inmarsat";"Kommunikation mit Rettungsleitstelle";"Positions- und Zeitbestimmung sowie Übermittlung";"Positions- und Zeitbestimmung sowie Übermittlung"
