Frage;Antwort A;Antwort B;Antwort C;Antwort D;Richtige Antwort
"Welche Frequenzen dürfen neben den Notfrequenzen für die Aussendung einer Notmeldung im Seefunkdienst benutzt werden?";"Jede andere verfügbare und geeignete Frequenz";"UKW Kanal 06 (internationaler Verkehr)";"Keine andere Frequenz";"Nur Schiff-Schiff-Frequenzen";"Jede andere verfügbare und geeignete Frequenz"
"Auf welchem UKW-Kanal findet der Notverkehr vorzugsweise statt?";"Kanal 16";"Kanal 70";"Kanal 69";"Kanal 06";"Kanal 16"
"Welche Meldungen dürfen im Weltweiten Seenot- und Sicherheitsfunksystem (GMDSS) auf UKW-Kanal 16 (156,8 MHz) übermittelt werden?";"Notmeldungen, Dringlichkeitsmeldungen und die Ankündigung von Sicherheitsmeldungen";"Dringlichkeitsmeldungen und Meldungen im öffentlichen Funkverkehr";"Sicherheits-, Dringlichkeitsmeldungen und Nichtöffentlicher Funkverkehr";"Notmeldungen und Routinemeldungen";"Notmeldungen, Dringlichkeitsmeldungen und die Ankündigung von Sicherheitsmeldungen"
"Wann und warum wird die Einleitung eines Notverkehrs wiederholt?";"Wenn die aussendende Seefunkstelle keine Antwort auf ihren DSC-Alarm oder ihre Notmeldung erhalten hat oder wenn sie es aus anderen Gründen für notwendig hält";"Wenn der DSC-Notalarm nur von einer Küstenfunkstelle bestätigt worden ist";"Die Einleitung des Notverkehrs darf nicht wiederholt werden, um Fehlalarme zu vermeiden";"Die Einleitung des Notverkehrs wird nach 6 Minuten wiederholt, wenn keine Bestätigung erfolgt ist";"Wenn die aussendende Seefunkstelle keine Antwort auf ihren DSC-Alarm oder ihre Notmeldung erhalten hat oder wenn sie es aus anderen Gründen für notwendig hält"
"An wen soll eine Seefunkstelle den Notalarm für ein anderes in Not befindliches Schiff richten?";"Grundsätzlich an die nächstgelegene Küstenfunkstelle oder sonst an alle Funkstellen";"Grundsätzlich an alle Seefunkstellen in der Nähe";"Grundsätzlich an das Maritime Lagezentrum beim Havariekommando";"Grundsätzlich an ein Local User Terminal oder sonst an alle Seefunkstellen";"Grundsätzlich an die nächstgelegene Küstenfunkstelle oder sonst an alle Funkstellen"
"Welche Voraussetzung muss eine Seefunkstelle erfüllen, die den Empfang eines DSC-Notalarms auf UKW im Sprechfunkverfahren bestätigt?";"Sie muss Hilfe leisten können";"Eine sichere Funkverbindung muss möglich sein";"Sie muss die Seefunkstelle in Not spätestens nach einer Stunde erreichen können";"Notalarme werden in jedem Fall bestätigt";"Sie muss Hilfe leisten können"
"Wann darf eine Seefunkstelle, wenn sie Hilfe leisten kann, den Empfang eines DSC-Notalarms auf UKW im Sprechfunkverfahren bestätigen?";"Nach Bestätigung durch eine Küstenfunkstelle oder einer angemessenen Wartefrist";"Sofort nach Empfang des DSC-Notalarms";"Nach einer Wartefrist von 3 Minuten";"DSC-Notalarme dürfen grundsätzlich nur von Küstenfunkstellen bestätigt werden";"Nach Bestätigung durch eine Küstenfunkstelle oder einer angemessenen Wartefrist"
"Auf welchem UKW-Kanal und in welchem Verfahren bestätigt eine Seefunkstelle den auf Kanal 70 empfangenen Notalarm?";"Kanal 16, Sprechfunkverfahren";"Kanal 70, DSC";"Arbeitskanal, Sprechfunkverfahren";"Kanal 16, DSC";"Kanal 16, Sprechfunkverfahren"
"Wann wird im Seefunkdienst die Aufforderung SILENCE MAYDAY ausgesendet?";"Wenn die Funkstelle, die den Notverkehr leitet, störende Funkstellen zur Einhaltung der Funkstille auffordert";"Wenn die Situation des Schiffes in Not besonders kritisch ist";"Wenn die Funkstelle, die den Notverkehr leitet, die Beendigung des Notverkehrs ankündigen will";"Wenn eine Funkstelle sich besondere Aufmerksamkeit für die Verbreitung einer Dringlichkeits- oder Sicherheitsmeldung erbittet";"Wenn die Funkstelle, die den Notverkehr leitet, störende Funkstellen zur Einhaltung der Funkstille auffordert"
"Wer fordert in einem Seenotfall eine störende Funkstelle mit den Wörtern SILENCE MAYDAY zur Einhaltung der Funkstille auf?";"Die Funkstelle, die den Notverkehr leitet";"Die Funkstelle in Not oder eine Hilfe leistende Luftfunkstelle";"Die Funkstelle, die die störende Funkstelle als erste empfangen hat";"Die Funkstelle, die der störenden Funkstelle nächstgelegen ist";"Die Funkstelle, die den Notverkehr leitet"
"Welche Aufgaben übernimmt die Seenotleitung (Maritime Rescue Co-ordination Centre [MRCC]) nach Eingang eines Notalarms?";"Koordinierung und Information über die SAR-Maßnahmen";"Leitung des Notverkehrs auf Kanal 70";"Bestimmung des On-Scene Co-ordinators (OSC)";"Überwachung Kanäle 16 und 70 sowie Dokumentation der SAR-Maßnahmen";"Koordinierung und Information über die SAR-Maßnahmen"
"Auf welchen UKW-Kanälen ist Bremen Rescue Radio empfangsbereit?";"Kanal 16 (Sprechfunk), Kanal 70 (DSC)";"Kanal 10 (Sprechfunk), Kanal 70 (DSC)";"Kanal 16 (Sprechfunk), Kanal 10 (DSC)";"Kanal 06 (Sprechfunk), Kanal 70 (DSC)";"Kanal 16 (Sprechfunk), Kanal 70 (DSC)"
"Nach welchem Betriebsverfahren wird der Funkverkehr in Notfällen zwischen Seefunkstellen und SAR-Hubschraubern abgewickelt?";"Betriebsverfahren des mobilen Seefunkdienstes";"Betriebsverfahren des mobilen Flugfunkdienstes";"Betriebsverfahren des Navigationsfunkdienstes";"Betriebsverfahren des Revierfunkdienstes";"Betriebsverfahren des mobilen Seefunkdienstes"
"Welche Veröffentlichung enthält Angaben zu Verfahren, Abkürzungen und international entwickelte Redewendungen für Notfälle?";"Handbuch „Suche und Rettung“";"Handbuch „Funkdienst für die Klein- und Sportschifffahrt“";"Nachrichten für Seefahrer";"Mitteilungen für Seefunkstellen und Schiffsfunkstellen";"Handbuch „Suche und Rettung“"
"In welchem Frequenzbereich kann mit SAR-Einheiten Seefunkverkehr abgewickelt werden?";"UKW-Bereich";"UHF-Bereich";"MW-Bereich";"VLF-Bereich";"UKW-Bereich"
"Im Funkverkehr zwischen Seefunkstellen und SAR-Hubschraubern gilt das Betriebsverfahren...";"des Seefunkdienstes";"des Flugfunkdienstes";"der Rettungsdienste";"des Binnenschifffahrtsfunks";"des Seefunkdienstes"
"Auf welchen UKW-Kanälen dürfen zu Sicherheitszwecken Seefunkstellen mit SAR-Hubschraubern Funkverkehr vorzugsweise abwickeln?";"Kanal 16, Kanal 06";"Kanal 16, Kanal 10";"Kanal 06, Kanal 10";"Kanal 70, Kanal 16";"Kanal 16, Kanal 06"
"Wodurch werden in der Regel bei einer Rettungsaktion mit SAR Hubschraubern die Kanäle 16 und 06 überwacht?";"Zweikanal-Überwachung (Dual Watch)";"Zwei unabhängige Seefunkgeräte";"Regelmäßiges manuelles Umschalten";"Bedarfsweises manuelles Umschalten";"Zweikanal-Überwachung (Dual Watch)"
"Welchen UKW-Kanal soll ein Schiff in Not bis zur Ankunft eines SAR-Hubschraubers abhören?";"Kanal 16";"Kanal 06";"Kanal 10";"Kanal 70";"Kanal 16"
"Wie ist zu verfahren, wenn während eines Notverkehrs auf Kanal 16 die Ankündigung einer Dringlichkeits- oder Sicherheitsmeldung „An alle Funkstellen“ vorgenommen werden soll?";"Ankündigung mittels Digitalen Selektivrufs (DSC) auf Kanal 70, Ankündigung während einer Pause im Notverkehr auf Kanal 16, Aussendung der Meldung auf einem Schiff-Schiff-Kanal";"Ankündigung auf Kanal 06, Information an die Küstenfunkstelle/RCC über den Inhalt der Meldung auf einem Arbeitskanal";"Ankündigung mittels Digitalen Selektivrufs (DSC) auf Kanal 70, Information „An alle Funkstellen“ über den Inhalt der Meldung auf Kanal 16";"Ankündigung auf Kanal 16 während einer Pause im Notverkehr, Aussendung auf einem Schiff-Schiff-Kanal";"Ankündigung mittels Digitalen Selektivrufs (DSC) auf Kanal 70, Ankündigung während einer Pause im Notverkehr auf Kanal 16, Aussendung der Meldung auf einem Schiff-Schiff-Kanal"
"Was ist zu tun, wenn irrtümlich von einer Seefunkstelle ein Notalarm auf Kanal 70 ausgelöst worden ist?";"a. Gerät umgehend zurücksetzen b. Wenn möglich, den Fehlalarm per DSC zurücknehmen c. Mit Meldung auf Kanal 16 „An alle Funkstellen“ den Fehlalarm zurücknehmen";"a. Gerät ausschalten b. Eintragung im Schiffstagebuch c. MRCC telefonisch informieren";"a. Ankündigung der Rücknahme per DSC b. Rücknahme auf Kanal 16 „An alle Funkstellen“ c. Schiffsführer informieren";"a. Gerät umgehend zurücksetzen b. Ankündigung per DSC c. Rücknahme auf Kanal 13 „An alle Funkstellen“";"a. Gerät umgehend zurücksetzen b. Wenn möglich, den Fehlalarm per DSC zurücknehmen c. Mit Meldung auf Kanal 16 „An alle Funkstellen“ den Fehlalarm zurücknehmen"
"Womit können im Notfall nach dem Verlassen des havarierten Schiffes keine Such- und Rettungsarbeiten ausgelöst bzw. erleichtert werden?";"UKW-Empfänger";"Transponder für Suche und Rettung (SART)";"Seenotfunkbake (EPIRB)";"Handsprechfunkgeräte";"UKW-Empfänger"
"Welche Komponenten des Weltweiten Seenot- und Sicherheitsfunksystems (GMDSS) werden für die Aussendung von Signalen zur Ortsbestimmung eingesetzt?";"SART, EPIRB";"NAVTEX, EGC";"DSC, EPIRB";"NAVTEX, SART";"SART, EPIRB"
"Wo soll eine Satelliten-Seenotfunkbake (EPIRB) an Bord eines Sportbootes installiert werden?";"Im äußeren Decksbereich";"In der Backskiste";"In mindestens 1 m Entfernung von Metallteilen";"Geschützt unter Deck";"Im äußeren Decksbereich"
"Wann darf eine Satelliten-Seenotfunkbake (EPIRB) für eine Aussendung aktiviert werden?";"Nur im Notfall";"Zu Testzwecken";"Im Notfall und zu Testzwecken";"Beim Herannahen von Rettungsfahrzeugen";"Nur im Notfall"
"Wie kann eine Satelliten-Seenotfunkbake (EPIRB) im Notfall aktiviert werden?";"Manuell oder automatisch";"Nur manuell";"Nur automatisch";"Durch das COSPAS-SARSAT-System";"Manuell oder automatisch"
"Wodurch wird eine EPIRB im Seenotfall automatisch aktiviert?";"Wasserdruckauslöser";"Rüttelkontakt";"GPS-Signale";"Radar-Signale";"Wasserdruckauslöser"
"Welche Informationen enthält die Aussendung einer Satelliten-Seenotfunkbake (EPIRB)?";"a. Notsignal b. Identifikationsmerkmal c. Position mittels GPS, wenn vorhanden";"a. Notsignal b. Schiffstyp c. Art des Notfalls";"a. Position mittels GPS, wenn vorhanden b. Identifikationsmerkmal c. Zielhafen";"a. Art des Notfalls b. Position mittels GPS, wenn vorhanden c. Rufzeichen";"a. Notsignal b. Identifikationsmerkmal c. Position mittels GPS, wenn vorhanden"
"Wie lange dauert es in den Seegebieten A1 bis A3, bis der Alarm einer COSPAS-SARSAT-Satelliten-Seenotfunkbake (EPIRB) bei der zuständigen Seenotleitung (MRCC) aufläuft?";"Wenige Minuten";"Bis zu 30 Minuten";"Bis zu 2 Stunden";"Bis zu 4 Stunden";"Wenige Minuten"
"Wie lange kann es unter ungünstigen Bedingungen von der Aktivierung einer COSPAS-SARSAT-Satelliten-Seenotfunkbake ohne GPS bis zum Empfang der Position im MRCC dauern?";"Bis zu 4 Stunden";"Bis zu 8 Stunden";"Bis zu 12 Stunden";"Bis zu einem Tag";"Bis zu 4 Stunden"
"Warum dauert es unter ungünstigen Bedingungen von der Aktivierung einer COSPAS-SARSAT-Satelliten-Seenotfunkbake ohne GPS bis zum Empfang der Position im MRCC bis zu vier Stunden?";"Es müssen Überflüge der umlaufenden COSPAS-SARSAT-Satelliten (LEOSAR) abgewartet werden";"Die niedrige Datenrate im Uplink ermöglicht keine hohe Übertragungsgeschwindigkeit";"Hoher Seegang behindert die Funkwellenausbreitung zum geostationären COSPAS-SARSAT-Satelliten (GEOSAR)";"Schlechte Wetterverhältnisse behindern die Übertragung der Daten vom COSPAS-SARSAT-Satelliten zur Bodenstation (LUT)";"Es müssen Überflüge der umlaufenden COSPAS-SARSAT-Satelliten (LEOSAR) abgewartet werden"
"Wie groß ist die maximale Abweichung der ermittelten von der tatsächlichen Position einer COSPAS-SARSAT-Seenotfunkbake (EPIRB) ohne GPS?";"2 sm";"10 sm";"100 sm";"150 sm";"2 sm"
"Zu welchem Zweck benutzen Satelliten-Seenotfunkbaken (EPIRB) die Frequenzen 121,5 MHz und 406 MHz?";"121,5 MHz zur Zielfahrt (Homing), 406 MHz zur Alarmierung und Positionsbestimmung";"121,5 MHz zur Zielfahrt (Homing), 406 MHz zur Kommunikation";"121,5 MHz zur Identifikation, 406 MHz zur Zielfahrt (Homing)";"121,5 MHz zur Kommunikation, 406 MHz zur Alarmierung und Positionsbestimmung";"121,5 MHz zur Zielfahrt (Homing), 406 MHz zur Alarmierung und Positionsbestimmung"
"Welche Informationen müssen an einer Satelliten-Seenotfunkbake (EPIRB) erkennbar sein?";"a. Schiffsname/Rufzeichen/MMSI oder anderes Identifikationsmerkmal b. Seriennummer c. Haltbarkeitsdatum der Batterie d. Haltbarkeitsdatum des Wasserdruckauslösers";"a. Herstellerfirma b. Haltbarkeitsdatum des Wasserdruckauslösers c. Zulassungsdatum d. Kurzanleitung";"a. Herstellerfirma b. Schiffsname/Rufzeichen/MMSI oder anderes Identifikationsmerkmal c. Prüfdatum d. Sendefrequenz";"a. Kurzanleitung b. Zulassungsdatum c. Identifikationsmerkmal d. Haltbarkeitsdatum der Batterie";"a. Schiffsname/Rufzeichen/MMSI oder anderes Identifikationsmerkmal b. Seriennummer c. Haltbarkeitsdatum der Batterie d. Haltbarkeitsdatum des Wasserdruckauslösers"
"Was ist zu tun, bevor die Satelliten-Seenotfunkbake (EPIRB) für Wartungszwecke aus ihrer Halterung entfernt werden soll?";"Sicherstellen, dass kein Fehlalarm ausgelöst wird";"Sicherung lösen";"MRCC informieren";"Keine besonderen Vorkehrungen treffen";"Sicherstellen, dass kein Fehlalarm ausgelöst wird"
"Welche Prüfungen sind an einer Satelliten-Seenotfunkbake (EPIRB) durchzuführen?";"Haltbarkeitsdatum der Batterie, Haltbarkeitsdatum des Wasserdruckauslösers, Funktion entsprechend den Herstellerangaben";"Haltbarkeitsdatum der Batterie, Haltbarkeitsdatum des Wasserdruckauslösers, Befestigung am Schiffskörper";"Funktion entsprechend den Herstellerangaben, Haltbarkeitsdatum der Batterie, Festigkeit der Sicherheitsleine";"Haltbarkeitsdatum des Wasserdruckauslösers, Lesbarkeit der Beschriftung, Kontakte der Batterien";"Haltbarkeitsdatum der Batterie, Haltbarkeitsdatum des Wasserdruckauslösers, Funktion entsprechend den Herstellerangaben"
"Wie erscheint die Aussendung eines Transponders für Suche und Rettung (SART) auf einem Radarbildschirm?";"Als Linie von mindestens zwölf Zeichen";"Die Aussendung eines Transponders ist auf dem Radarschirm nicht sichtbar";"Als lange aus einem Zeichen bestehende Linie";"Als Linie von mindestens drei Zeichen";"Als Linie von mindestens zwölf Zeichen"
"Welches Navigationsgerät empfängt das Signal eines aktivierten Transponders für Suche und Rettung (SART)?";"Radargerät";"GPS-Empfänger";"DSC-Controller";"NAVTEX-Gerät";"Radargerät"
"Welche Vorteile hat eine UKW-Seefunkanlage gegenüber einem Mobiltelefon in einer Notsituation?";"Allgemeine und sichere Alarmierungsmöglichkeit";"Hohe und gleichbleibende Sprachqualität";"Wahrung des Fernmeldegeheimnisses und des Abhörverbots";"Digitale und sichere Sprachübertragung";"Allgemeine und sichere Alarmierungsmöglichkeit"
"Welchen Vorteil hat eine UKW-Seefunkanlage gegenüber einem Mobiltelefon, wenn in einer Notsituation andere Fahrzeuge in Sicht sind und um Hilfe gebeten werden sollen?";"Erreichbarkeit aller in Funkreichweite befindlichen Seefunkstellen";"Erreichbarkeit aller Seefunkstellen im Seegebiet A1";"Erreichbarkeit aller Rettungsfahrzeuge in Küstennähe";"Erreichbarkeit aller Seefunkstellen in den Seegebieten A1 und A2";"Erreichbarkeit aller in Funkreichweite befindlichen Seefunkstellen"
"Warum ist ein Mobiltelefon gegenüber einer UKW-Seefunkanlage keine Alternative, wenn in einer Notsituation die Such- und Rettungsmaßnahmen anderen Fahrzeugen bekannt gemacht werden müssen?";"Telefongespräche können von weiteren Fahrzeugen nicht mitgehört werden, wichtige Informationen zur Hilfeleistung und Rettung sind nicht für alle Beteiligten verfügbar";"Telefongespräche können von weiteren Fahrzeugen nicht bestätigt werden, der Seenotleitung (MRCC) fehlen daher wichtige Informationen";"Telefongespräche können von Küstenfunkstellen nicht bestätigt werden, wichtige Informationen fehlen daher für die Koordination vor Ort";"Telefongespräche können vom On-Scene-Coordinator (OSC) nicht mitgehört werden, wichtige Informationen sind nur bei der Seenotleitung (MRCC) vorhanden";"Telefongespräche können von weiteren Fahrzeugen nicht mitgehört werden, wichtige Informationen zur Hilfeleistung und Rettung sind nicht für alle Beteiligten verfügbar"
"Mit welcher Meldung werden die Funkstellen davon unterrichtet, dass der Notverkehr beendet ist?";"Meldung, die mit SILENCE FINI abschließt";"Meldung, die mit SILENCE MAYDAY abschließt";"Meldung, die mit OVER AND OUT abschließt";"Meldung, die mit MASTER abschließt";"Meldung, die mit SILENCE FINI abschließt"
"Welche Funktion hat ein Transponder für Suche und Rettung (Search and Rescue Transponder [SART])?";"Aussendung von Ortungsfunksignalen, die im Seenotfall das Auffinden des verunglückten Fahrzeuges mittels Radar erleichtern sollen";"Automatische Aussendung der Notposition über UKW an Küsten- bzw. Schiffsfunkstellen";"Automatische Übermittlung der Position des in Not befindlichen Fahrzeuges über die COSPAS-SARSAT-Satelliten";"Reflexion von Radarstrahlen und Erzeugung eines deutlichen Echos auf Radarbildschirmen";"Aussendung von Ortungsfunksignalen, die im Seenotfall das Auffinden des verunglückten Fahrzeuges mittels Radar erleichtern sollen"
"Welche Funktion hat eine Satelliten-Seenotfunkbake (Emergency Position-Indicating Radiobeacon [EPIRB])?";"Alarmierung und Kennzeichnung der Notposition";"Kommunikation im VHF-Band zwischen Überlebensfahrzeug und SAR-Fahrzeugen bzw. dem MRCC";"Aussendung einer Notmeldung auf den Notfrequenzen der Luftfahrt (121,5 MHz bzw. 243 MHz), die von den Luftfahrzeugen bestätigt wird";"Ermöglichen der Ortung mittels Radar und Erleichterung des Auffindens des Havaristen";"Alarmierung und Kennzeichnung der Notposition"
